hash count mean4 stdev4 median4 min4 max4 mean8 stdev8 median8 min8 max8
2013-11 51848 3240.5 62.63485451408026 3232.5 3138 3355 202.53125 13.582466581497632 202.5 166 248
2013-12 52255 3265.9375 66.03452577061488 3260.0 3147 3367 204.12109375 13.587857356982775 205.0 168 245
2014-01 52561 3285.0625 66.54365930537635 3283.0 3153 3378 205.31640625 14.021937485061077 206.0 169 247
2014-02 52336 3271 65.67628948106005 3275.0 3144 3380 204.4375 14.056109659148223 206.0 169 252
2014-03 52724 3295.25 62.27208443596537 3291.0 3163 3384 205.953125 13.915963952754943 206.0 168 249
2014-04 52504 3281.5 62.51699768862865 3277.0 3156 3392 205.09375 14.009727368421556 205.0 163 244
2014-05 53039 3314.9375 60.707772103331216 3318.0 3193 3411 207.18359375 13.943576463194834 207.0 169 247
2014-06 53319 3332.4375 64.00387561507506 3330.5 3201 3428 208.27734375 14.226036401413289 209.0 170 246
2014-07 52853 3303.3125 65.18983696673892 3305.0 3167 3403 206.45703125 14.2444516807957 206.0 168 250
2014-08 53244 3327.75 64.68143087471087 3344.0 3175 3421 207.984375 14.10146511392965 207.0 169 253
2014-09 53273 3329.5625 68.48719656804475 3349.0 3172 3426 208.09765625 14.266514360797313 207.0 173 252
2014-10 53667 3354.1875 61.31192660282337 3363.5 3217 3441 209.63671875 13.78025291797645 208.5 170 249
2014-11 53357 3334.8125 56.73426957095685 3338.0 3216 3411 208.42578125 13.567048465939394 208.0 169 252
2014-12 54226 3389.125 67.48136316791474 3377.5 3235 3507 211.8203125 14.262567700184414 211.5 178 250
2015-01 54794 3424.625 64.348538250686 3421.5 3293 3540 214.0390625 14.185105714131769 214.0 183 253
2015-02 54382 3398.875 68.41954673190988 3389.5 3302 3537 212.4296875 14.385422088084303 212.0 177 252
2015-03 54188 3386.75 67.98023609844262 3384.0 3267 3496 211.671875 14.799762125938884 212.0 173 250
2015-04 54229 3389.3125 71.11058179870278 3388.5 3267 3504 211.83203125 14.895177667588374 212.0 168 252
2015-05 53346 3334.125 61.142124390635956 3325.0 3222 3443 208.3828125 14.640014244864783 208.5 168 253
2015-06 52888 3305.5 65.17284710675145 3297.0 3192 3437 206.59375 14.364908142327259 206.0 172 249
2015-07 53079 3317.4375 62.44694623238193 3311.0 3213 3445 207.33984375 14.096131117281292 207.0 172 245
2015-08 59898 3743.625 69.79960153897729 3731.0 3631 3860 233.9765625 15.34268190974426 235.0 196 283
2015-09 60391 3774.4375 74.21924341941246 3765.0 3641 3904 235.90234375 16.032505871099374 236.5 193 290
2015-10 60890 3805.625 69.34774239295754 3798.5 3691 3922 237.8515625 16.167381244610823 238.5 194 295
2015-11 61106 3819.125 70.38721030840759 3820.5 3700 3946 238.6953125 15.92146673605619 238.0 193 291
2015-12 61176 3823.5 65.91187298203565 3823.0 3709 3942 238.96875 15.64845115139195 240.0 199 289
2016-01 61650 3853.125 70.30636084309869 3851.5 3736 3968 240.8203125 15.725891068627677 241.0 200 292
2016-02 62042 3877.625 73.08289386032821 3882.0 3748 3999 242.3515625 15.914365485579177 243.0 199 295
2016-03 62116 3882.25 70.41706114287929 3881.0 3737 4008 242.640625 15.896999704641596 243.0 201 295
2016-04 62126 3882.875 62.73045014185694 3873.5 3749 3997 242.6796875 15.695308611248896 244.0 203 298
